Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.69,9.69,9.69,9.69,000,9.69
2016-01-22,9.69,9.69,9.69,9.69,000,9.69
2016-01-21,9.67,9.69,9.67,9.69,400,9.69
2016-01-20,9.51,9.55,9.51,9.55,600,9.55
2016-01-19,9.57,9.57,9.52,9.52,178200,9.52
2016-01-15,9.57,9.57,9.57,9.57,000,9.57
2016-01-14,9.57,9.57,9.57,9.57,215000,9.57
2016-01-13,10.00,10.00,10.00,10.00,000,10.00
2016-01-12,10.00,10.00,10.00,10.00,000,10.00
2016-01-11,10.00,10.00,10.00,10.00,000,10.00
2016-01-08,10.00,10.00,10.00,10.00,000,10.00
2016-01-07,10.00,10.00,10.00,10.00,000,10.00
2016-01-06,10.00,10.00,10.00,10.00,000,10.00
2016-01-05,10.00,10.00,10.00,10.00,000,10.00
2016-01-04,10.00,10.00,10.00,10.00,000,10.00
2015-12-31,10.00,10.00,10.00,10.00,000,10.00
2015-12-30,10.00,10.00,10.00,10.00,000,10.00
2015-12-29,10.00,10.00,10.00,10.00,000,10.00
2015-12-28,10.00,10.00,10.00,10.00,000,10.00
2015-12-24,10.00,10.00,10.00,10.00,000,10.00
2015-12-23,10.00,10.00,10.00,10.00,400,10.00
2015-12-22,9.64,9.64,9.64,9.64,000,9.64
2015-12-21,9.64,9.64,9.64,9.64,000,9.64
2015-12-18,9.64,9.64,9.64,9.64,000,9.64
2015-12-17,9.64,9.64,9.64,9.64,400,9.64
2015-12-16,9.60,9.60,9.60,9.60,000,9.60
2015-12-15,9.60,9.60,9.60,9.60,500000,9.60
