Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,8.90,9.80,8.129,8.16,27700,8.16
2016-01-22,9.68,9.68,8.99,9.04,55800,9.04
2016-01-21,9.28,10.00,8.84,9.45,31700,9.45
2016-01-20,9.09,9.735,8.15,9.40,66500,9.40
2016-01-19,8.15,10.84,7.55,9.41,128200,9.41
2016-01-15,8.27,8.44,7.70,7.86,26100,7.86
2016-01-14,8.06,8.66,7.42,8.60,48400,8.60
2016-01-13,8.86,9.17,7.90,8.04,63100,8.04
2016-01-12,8.60,8.82,8.19,8.43,44100,8.43
2016-01-11,8.80,8.80,8.08,8.54,59800,8.54
2016-01-08,8.78,9.35,8.72,8.77,45700,8.77
2016-01-07,8.99,8.99,8.541,8.75,38700,8.75
2016-01-06,9.01,9.38,8.92,9.10,55900,9.10
2016-01-05,9.60,9.78,9.25,9.25,40900,9.25
2016-01-04,9.81,9.84,9.00,9.67,119600,9.67
2015-12-31,9.61,10.20,9.33,10.07,105300,10.07
2015-12-30,10.07,10.07,9.397,9.61,88700,9.61
2015-12-29,10.63,10.80,9.78,10.19,82000,10.19
2015-12-28,11.09,11.40,10.60,10.61,42700,10.61
2015-12-24,11.49,12.77,10.99,11.21,62800,11.21
2015-12-23,11.56,11.75,11.06,11.45,154800,11.45
2015-12-22,11.66,11.879,11.101,11.46,12700,11.46
2015-12-21,12.24,12.49,10.89,11.67,47500,11.67
2015-12-18,13.07,13.16,12.12,12.22,124500,12.22
2015-12-17,13.55,14.22,12.55,13.03,82600,13.03
2015-12-16,13.30,14.50,13.18,13.35,120200,13.35
2015-12-15,13.42,13.47,13.02,13.07,46100,13.07
2015-12-14,13.26,13.65,12.93,13.37,76700,13.37
2015-12-11,12.99,13.43,12.76,13.19,72600,13.19
2015-12-10,13.11,13.27,12.76,13.22,73800,13.22
2015-12-09,13.83,13.83,12.80,13.17,90300,13.17
2015-12-08,12.84,13.50,12.84,13.37,31000,13.37
2015-12-07,12.82,13.20,12.62,13.10,73300,13.10
2015-12-04,13.04,13.36,12.85,12.96,48500,12.96
2015-12-03,13.08,13.95,12.75,13.14,58100,13.14
2015-12-02,13.39,13.88,13.02,13.03,46700,13.03
2015-12-01,13.57,13.58,13.03,13.53,36300,13.53
2015-11-30,13.56,13.80,12.60,13.57,54600,13.57
2015-11-27,13.64,14.04,13.31,13.40,46300,13.40
2015-11-25,13.36,14.23,13.04,13.64,140100,13.64
2015-11-24,13.47,14.27,13.31,13.48,41300,13.48
2015-11-23,12.86,13.70,12.80,13.40,98200,13.40
2015-11-20,13.32,13.62,12.92,13.00,34700,13.00
2015-11-19,13.25,13.70,12.80,13.26,44500,13.26
2015-11-18,13.59,13.93,13.12,13.30,79800,13.30
2015-11-17,13.26,13.84,13.10,13.59,65300,13.59
2015-11-16,12.87,14.05,12.66,13.25,123700,13.25
2015-11-13,12.71,13.56,12.67,12.96,64100,12.96
2015-11-12,12.60,13.47,12.33,12.71,103300,12.71
2015-11-11,12.91,13.22,12.76,13.05,72600,13.05
2015-11-10,13.28,13.55,12.80,12.80,66300,12.80
2015-11-09,14.09,14.27,13.14,13.37,110900,13.37
2015-11-06,14.12,14.45,13.34,14.11,106800,14.11
2015-11-05,13.50,14.77,13.50,14.29,96400,14.29
2015-11-04,14.08,14.41,13.49,13.66,77900,13.66
2015-11-03,13.04,14.31,12.94,13.96,33800,13.96
2015-11-02,12.67,13.30,12.67,13.12,60100,13.12
2015-10-30,12.60,13.136,12.36,12.59,55000,12.59
2015-10-29,12.81,13.50,12.47,12.59,101800,12.59
2015-10-28,12.59,13.76,12.51,12.77,100200,12.77
2015-10-27,12.84,12.84,12.41,12.51,84900,12.51
2015-10-26,12.62,13.07,12.16,12.84,47900,12.84
2015-10-23,13.12,13.72,12.347,12.78,141900,12.78
2015-10-22,14.34,15.25,12.75,12.84,185600,12.84
2015-10-21,15.05,15.99,13.867,14.10,199500,14.10
2015-10-20,15.85,16.17,14.60,15.12,121700,15.12
2015-10-19,16.139999,16.950001,15.55,16.040001,140600,16.040001
2015-10-16,17.40,18.25,15.824,16.02,98600,16.02
2015-10-15,15.25,17.819,15.25,17.32,135600,17.32
2015-10-14,14.23,15.70,14.20,15.23,93400,15.23
2015-10-13,14.47,14.55,14.16,14.36,52000,14.36
2015-10-12,14.19,14.84,13.66,14.68,51400,14.68
2015-10-09,14.50,14.711,13.78,14.38,89700,14.38
2015-10-08,13.33,14.69,13.05,14.52,70200,14.52
2015-10-07,14.36,14.36,13.23,13.52,141000,13.52
2015-10-06,14.61,14.75,13.39,14.09,58100,14.09
2015-10-05,13.13,14.58,12.57,14.46,87600,14.46
2015-10-02,12.93,13.38,12.20,13.03,115500,13.03
2015-10-01,14.80,14.80,12.235,13.26,148200,13.26
2015-09-30,12.80,14.714,12.80,14.31,422100,14.31
2015-09-29,14.52,14.72,12.00,12.66,143400,12.66
2015-09-28,15.92,15.92,12.16,14.03,217100,14.03
2015-09-25,17.60,18.15,15.54,16.08,132400,16.08
2015-09-24,18.219999,19.00,16.499001,17.25,141900,17.25
2015-09-23,18.030001,18.620001,17.700001,18.58,36700,18.58
2015-09-22,18.120001,18.91,17.67,17.99,61900,17.99
2015-09-21,19.309999,20.25,18.43,18.58,110600,18.58
2015-09-18,19.73,20.860001,19.01,19.51,124900,19.51
2015-09-17,20.48,20.584,18.209999,20.00,143800,20.00
2015-09-16,20.610001,21.459999,20.25,20.59,115800,20.59
2015-09-15,21.65,23.629999,20.799999,21.02,169400,21.02
2015-09-14,21.219999,21.219999,20.01,20.73,84900,20.73
2015-09-11,23.90,23.90,19.200001,20.799999,311300,20.799999
2015-09-10,25.549999,25.969999,23.209999,23.99,81200,23.99
2015-09-09,28.299999,29.030001,25.00,26.110001,64800,26.110001
2015-09-08,29.76,30.209999,27.309999,27.889999,64500,27.889999
2015-09-04,27.93,29.50,27.129999,28.799999,81100,28.799999
2015-09-03,30.00,33.060001,28.25,28.780001,87100,28.780001
2015-09-02,29.00,32.00,27.00,30.040001,80200,30.040001
2015-09-01,27.120001,28.940001,26.624001,28.75,19600,28.75
2015-08-31,27.610001,30.08,27.389999,28.110001,175400,28.110001
2015-08-28,25.110001,29.10,24.530001,27.40,61800,27.40
2015-08-27,22.75,28.00,22.50,25.67,145600,25.67
2015-08-26,24.00,26.141001,22.049999,22.75,113300,22.75
2015-08-25,27.00,27.00,23.031,23.07,64300,23.07
2015-08-24,25.719999,26.799999,23.00,26.799999,52600,26.799999
2015-08-21,27.23,27.940001,25.27,27.389999,140700,27.389999
2015-08-20,30.43,31.00,28.004999,28.18,156500,28.18
2015-08-19,31.60,31.690001,29.379999,31.280001,119800,31.280001
2015-08-18,34.720001,34.720001,31.450001,32.220001,141000,32.220001
2015-08-17,35.419998,36.299999,32.040001,34.110001,124100,34.110001
2015-08-14,37.98,39.50,33.68,34.84,233100,34.84
2015-08-13,35.00,43.00,32.52,36.490002,406800,36.490002
2015-08-12,28.91,36.00,28.00,32.049999,236000,32.049999
2015-08-11,35.98,37.688,28.16,29.73,243600,29.73
2015-08-10,29.700001,42.849998,27.50,35.139999,539300,35.139999
2015-08-07,19.309999,24.90,19.309999,24.540001,269200,24.540001
2015-08-06,16.48,19.50,16.459999,19.32,331600,19.32
2015-08-05,18.00,22.25,15.50,16.25,1535200,16.25
