Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,13.78,14.21,13.56,13.94,67200,13.94
2016-01-22,14.26,15.40,13.71,14.22,49500,14.22
2016-01-21,14.66,14.75,13.82,14.12,28300,14.12
2016-01-20,13.91,14.98,13.824,14.56,47900,14.56
2016-01-19,14.52,14.59,13.74,14.14,60800,14.14
2016-01-15,13.98,14.44,13.98,14.39,40700,14.39
2016-01-14,14.25,14.74,14.25,14.41,55500,14.41
2016-01-13,15.48,15.48,13.84,14.04,41800,14.04
2016-01-12,14.50,15.95,13.86,14.66,87600,14.66
2016-01-11,15.04,16.280001,13.41,14.40,87100,14.40
2016-01-08,15.78,16.08,15.00,15.10,68300,15.10
2016-01-07,16.26,16.26,15.385,15.80,39100,15.80
2016-01-06,16.24,16.629999,15.865,16.379999,47100,16.379999
2016-01-05,16.58,17.00,16.200001,16.360001,60800,16.360001
2016-01-04,17.040001,17.280001,15.71,16.709999,57900,16.709999
2015-12-31,16.90,17.57,16.90,17.18,72500,17.18
2015-12-30,16.68,17.309999,16.549999,17.01,85000,17.01
2015-12-29,16.700001,17.32,16.139999,16.790001,123600,16.790001
2015-12-28,16.82,17.299999,16.299999,16.59,47800,16.59
2015-12-24,16.450001,17.030001,16.23,16.93,22900,16.93
2015-12-23,16.32,16.76,16.00,16.459999,52600,16.459999
2015-12-22,15.82,16.379999,15.78,16.33,41100,16.33
2015-12-21,16.209999,16.280001,15.70,15.87,52300,15.87
2015-12-18,16.209999,16.65,16.035,16.110001,81400,16.110001
2015-12-17,16.25,17.17,16.25,16.32,30900,16.32
2015-12-16,16.15,16.450001,15.93,16.290001,48900,16.290001
2015-12-15,16.040001,16.450001,15.695,16.15,46900,16.15
2015-12-14,16.10,16.27,15.85,15.97,37900,15.97
2015-12-11,15.88,16.559999,15.74,16.059999,82900,16.059999
2015-12-10,15.705,16.629999,15.705,16.200001,35900,16.200001
2015-12-09,16.15,16.389999,15.96,16.01,61900,16.01
2015-12-08,15.93,16.559999,15.70,16.219999,40800,16.219999
2015-12-07,16.049999,17.219999,15.695,16.120001,101400,16.120001
2015-12-04,15.76,16.23,15.73,16.049999,44100,16.049999
2015-12-03,15.81,15.90,15.015,15.81,59600,15.81
2015-12-02,15.94,16.379999,15.49,15.86,104300,15.86
2015-12-01,16.51,16.51,15.51,16.110001,30300,16.110001
2015-11-30,16.33,16.73,15.88,16.48,54200,16.48
2015-11-27,15.91,16.459999,15.46,16.32,30300,16.32
2015-11-25,15.23,16.129999,14.896,15.96,18800,15.96
2015-11-24,15.11,16.09,14.49,15.30,35200,15.30
2015-11-23,14.66,15.26,14.13,15.26,36700,15.26
2015-11-20,14.97,14.97,14.294,14.73,35300,14.73
2015-11-19,14.57,14.91,14.24,14.86,46900,14.86
2015-11-18,15.49,15.49,14.53,14.66,61600,14.66
2015-11-17,14.77,15.81,14.70,14.91,83700,14.91
2015-11-16,14.76,15.28,14.51,14.82,110400,14.82
2015-11-13,14.90,17.469999,14.49,14.82,112400,14.82
2015-11-12,15.99,15.99,14.49,15.01,112600,15.01
2015-11-11,15.24,15.56,14.98,15.15,46500,15.15
2015-11-10,15.37,15.44,15.12,15.28,35300,15.28
2015-11-09,15.74,16.07,14.84,15.47,80700,15.47
2015-11-06,15.05,15.88,14.99,15.83,58300,15.83
2015-11-05,14.91,15.23,14.88,15.15,34100,15.15
2015-11-04,14.98,15.34,14.42,15.08,86800,15.08
2015-11-03,15.16,15.173,14.445,14.95,36700,14.95
2015-11-02,15.16,15.40,15.08,15.24,70100,15.24
2015-10-30,15.22,15.32,14.95,15.08,33000,15.08
2015-10-29,15.63,16.76,14.42,15.27,30600,15.27
2015-10-28,15.20,15.61,15.10,15.57,23800,15.57
2015-10-27,15.50,15.58,14.95,15.13,34800,15.13
2015-10-26,15.90,15.90,15.22,15.43,42400,15.43
2015-10-23,15.63,16.25,15.20,15.88,22500,15.88
2015-10-22,15.65,16.944,15.25,15.54,75800,15.54
2015-10-21,15.68,16.030001,15.01,15.65,47200,15.65
2015-10-20,15.69,16.01,15.48,15.52,54000,15.52
2015-10-19,15.50,16.09,14.305,15.76,229300,15.76
2015-10-16,16.209999,16.209999,15.335,15.62,81200,15.62
2015-10-15,15.52,16.33,15.16,16.139999,192200,16.139999
2015-10-14,15.51,15.95,15.30,15.53,120900,15.53
2015-10-13,15.59,15.79,15.45,15.51,75700,15.51
2015-10-12,16.209999,16.209999,15.43,15.60,44800,15.60
2015-10-09,16.42,16.50,15.89,16.16,105000,16.16
2015-10-08,16.440001,17.33,15.91,16.33,87000,16.33
2015-10-07,16.120001,16.75,15.69,16.549999,95700,16.549999
2015-10-06,16.23,16.23,15.50,15.98,66800,15.98
2015-10-05,15.80,17.120001,15.80,16.18,172000,16.18
2015-10-02,15.51,15.89,14.46,15.65,113200,15.65
2015-10-01,16.25,16.940001,15.50,15.70,43400,15.70
2015-09-30,16.120001,16.459999,15.02,16.200001,132800,16.200001
2015-09-29,16.92,17.040001,15.35,16.059999,156800,16.059999
2015-09-28,16.870001,18.290001,15.96,16.90,233400,16.90
2015-09-25,18.00,18.32,16.75,17.00,161300,17.00
2015-09-24,17.66,19.584999,17.07,17.99,112800,17.99
2015-09-23,16.99,18.205,16.85,17.84,115600,17.84
2015-09-22,17.389999,17.690001,17.00,17.049999,141200,17.049999
2015-09-21,18.41,18.85,17.00,17.59,121800,17.59
2015-09-18,18.66,19.299999,17.889999,18.42,361900,18.42
2015-09-17,18.620001,19.52,18.40,18.99,66000,18.99
2015-09-16,18.879999,19.309999,18.26,18.67,62800,18.67
2015-09-15,17.41,19.00,17.34,18.90,110900,18.90
2015-09-14,16.92,17.58,16.860001,17.459999,130000,17.459999
2015-09-11,16.48,17.129999,16.48,17.07,52000,17.07
2015-09-10,16.35,16.875,16.129999,16.76,110600,16.76
2015-09-09,16.610001,16.889999,16.02,16.559999,122600,16.559999
2015-09-08,15.77,16.950001,15.59,16.559999,167400,16.559999
2015-09-04,14.99,15.66,14.80,15.58,71000,15.58
2015-09-03,15.08,15.26,14.82,15.21,70200,15.21
2015-09-02,14.00,15.16,13.81,15.14,202200,15.14
2015-09-01,14.00,14.16,13.81,13.93,222100,13.93
2015-08-31,14.56,14.63,13.98,14.13,110100,14.13
2015-08-28,15.06,15.53,14.10,14.55,231400,14.55
2015-08-27,15.29,16.226,14.74,15.02,549500,15.02
2015-08-26,15.34,15.535,14.80,15.29,92600,15.29
2015-08-25,15.40,15.40,14.955,15.08,54500,15.08
2015-08-24,14.86,15.01,14.775,15.01,128800,15.01
2015-08-21,15.56,16.389999,15.325,15.54,113200,15.54
2015-08-20,15.34,15.77,15.00,15.27,142300,15.27
2015-08-19,15.39,15.96,15.03,15.47,101700,15.47
2015-08-18,15.16,15.55,15.10,15.41,211200,15.41
2015-08-17,14.91,15.395,14.91,15.15,73700,15.15
2015-08-14,15.66,15.77,14.275,14.90,112400,14.90
2015-08-13,15.59,16.049999,15.59,15.84,77700,15.84
2015-08-12,16.290001,16.290001,15.50,15.73,184400,15.73
2015-08-11,16.58,16.700001,15.58,16.42,32500,16.42
2015-08-10,16.459999,16.92,16.309999,16.809999,49700,16.809999
2015-08-07,16.200001,17.10,16.101999,16.379999,65800,16.379999
2015-08-06,16.48,16.73,15.90,16.299999,74300,16.299999
2015-08-05,16.10,16.50,15.77,16.42,98800,16.42
2015-08-04,17.15,17.40,16.049999,16.10,124000,16.10
2015-08-03,15.75,17.629999,15.75,17.129999,161500,17.129999
2015-07-31,15.52,15.85,15.46,15.68,75400,15.68
2015-07-30,15.89,16.219999,15.19,15.42,59000,15.42
2015-07-29,16.360001,16.50,15.824,16.15,79700,16.15
2015-07-28,16.360001,16.75,16.01,16.50,130000,16.50
2015-07-27,16.26,17.01,15.78,16.190001,99200,16.190001
2015-07-24,16.65,17.00,15.83,16.50,189100,16.50
2015-07-23,17.09,17.50,16.41,16.75,116300,16.75
2015-07-22,16.84,17.110001,16.50,16.99,420900,16.99
2015-07-21,17.190001,17.299999,16.743999,16.940001,424500,16.940001
2015-07-20,16.959999,17.35,16.82,16.99,144600,16.99
2015-07-17,17.549999,17.610001,16.280001,17.00,231200,17.00
2015-07-16,17.50,17.68,16.25,17.459999,317300,17.459999
2015-07-15,17.860001,18.48,16.98,17.49,343100,17.49
2015-07-14,14.40,18.17,14.26,17.799999,984200,17.799999
2015-07-13,14.21,14.89,14.06,14.51,922900,14.51
2015-07-10,14.50,15.11,13.56,13.955,675500,13.955
2015-07-09,16.00,18.00,14.35,14.60,810900,14.60
2015-07-08,16.34,16.629999,16.00,16.00,658000,16.00
2015-07-07,17.309999,18.440001,16.024,16.360001,430700,16.360001
2015-07-06,18.040001,18.790001,16.764999,16.82,674100,16.82
2015-07-02,19.00,26.00,17.01,18.540001,489200,18.540001
2015-07-01,26.00,26.00,15.02,19.110001,303500,19.110001
2015-06-30,24.01,24.01,24.00,24.01,300,24.01
2015-06-29,22.50,22.50,22.50,22.50,000,22.50
2015-06-26,22.50,22.50,22.50,22.50,000,22.50
2015-06-25,22.50,22.50,22.50,22.50,300,22.50
2015-06-24,21.00,21.00,21.00,21.00,000,21.00
2015-06-23,21.00,21.00,21.00,21.00,000,21.00
2015-06-22,21.00,21.00,21.00,21.00,200,21.00
2015-06-19,21.00,21.00,21.00,21.00,1000,21.00
2015-06-18,20.00,20.00,20.00,20.00,000,20.00
2015-06-17,19.00,20.00,19.00,20.00,700,20.00
