Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,4.65,5.00,4.30,4.35,18200,4.35
2016-01-22,4.75,5.12,4.13,4.55,61900,4.55
2016-01-21,5.18,5.75,4.51,4.75,70800,4.75
2016-01-20,4.64,5.28,4.45,5.20,22600,5.20
2016-01-19,5.50,5.50,4.55,4.86,27800,4.86
2016-01-15,4.49,5.49,4.24,5.49,24500,5.49
2016-01-14,4.20,4.75,4.05,4.24,43300,4.24
2016-01-13,5.00,5.00,3.84,4.20,70800,4.20
2016-01-12,6.00,6.00,4.63,4.89,32000,4.89
2016-01-11,6.00,6.00,5.375,5.55,21900,5.55
2016-01-08,6.11,6.43,6.032,6.17,17000,6.17
2016-01-07,6.48,7.30,6.02,6.02,14600,6.02
2016-01-06,6.75,6.80,6.10,6.371,21400,6.371
2016-01-05,6.92,7.055,6.425,6.86,15100,6.86
2016-01-04,7.77,7.99,7.00,7.09,21700,7.09
2015-12-31,7.03,7.83,7.03,7.60,18800,7.60
2015-12-30,6.99,7.10,6.85,7.08,17100,7.08
2015-12-29,6.98,7.09,6.77,7.09,8000,7.09
2015-12-28,7.08,7.08,6.845,7.04,16100,7.04
2015-12-24,6.98,7.08,6.98,7.08,8000,7.08
2015-12-23,7.11,7.21,6.90,7.03,31800,7.03
2015-12-22,5.96,7.34,5.96,7.26,26700,7.26
2015-12-21,6.13,6.36,6.05,6.325,6800,6.325
2015-12-18,6.23,6.315,6.00,6.11,18800,6.11
2015-12-17,5.81,6.08,5.78,6.08,15000,6.08
2015-12-16,6.00,6.04,5.85,6.01,8300,6.01
2015-12-15,5.71,6.369,5.71,6.08,11000,6.08
2015-12-14,5.684,5.99,5.46,5.88,15200,5.88
2015-12-11,6.08,6.345,5.80,5.98,38300,5.98
2015-12-10,6.112,6.112,5.71,5.98,30500,5.98
2015-12-09,5.63,6.31,5.53,6.03,43400,6.03
2015-12-08,5.44,5.68,5.31,5.65,42100,5.65
2015-12-07,5.90,6.08,5.00,5.69,72000,5.69
2015-12-04,6.17,6.50,5.60,5.88,117900,5.88
2015-12-03,6.15,6.48,6.10,6.34,35400,6.34
2015-12-02,7.19,7.23,5.90,6.15,102000,6.15
2015-12-01,6.98,7.30,6.92,7.03,43600,7.03
2015-11-30,7.00,7.29,7.00,7.19,14100,7.19
2015-11-27,7.17,7.50,6.93,7.32,16800,7.32
2015-11-25,7.30,7.86,7.06,7.44,20000,7.44
2015-11-24,6.96,7.45,6.95,7.44,30500,7.44
2015-11-23,7.30,7.42,6.79,7.17,24700,7.17
2015-11-20,6.90,7.575,6.56,7.55,40500,7.55
2015-11-19,6.84,7.15,6.70,7.15,22900,7.15
2015-11-18,7.45,7.45,6.83,6.99,24000,6.99
2015-11-17,7.25,7.25,6.50,6.94,53400,6.94
2015-11-16,6.71,7.44,6.52,7.25,42200,7.25
2015-11-13,6.77,7.055,6.32,6.96,11400,6.96
2015-11-12,7.00,7.05,6.669,6.90,48800,6.90
2015-11-11,7.15,7.497,7.00,7.18,42700,7.18
2015-11-10,7.99,7.99,7.12,7.15,92200,7.15
2015-11-09,7.90,8.00,7.40,7.49,40500,7.49
2015-11-06,8.31,8.31,7.80,8.00,24900,8.00
2015-11-05,8.75,8.75,7.80,7.98,18800,7.98
2015-11-04,8.40,8.40,7.72,8.24,12300,8.24
2015-11-03,8.22,8.80,7.87,8.00,36900,8.00
2015-11-02,8.50,8.57,8.10,8.27,31000,8.27
2015-10-30,8.15,8.59,8.10,8.57,15800,8.57
2015-10-29,8.10,8.30,8.10,8.30,26700,8.30
2015-10-28,8.00,8.38,8.00,8.33,33700,8.33
2015-10-27,9.21,9.21,7.60,8.09,58500,8.09
2015-10-26,6.90,7.98,6.90,7.60,81800,7.60
2015-10-23,7.78,7.899,6.90,7.01,204200,7.01
2015-10-22,8.00,8.26,7.50,7.59,66800,7.59
2015-10-21,8.20,8.48,7.85,8.00,135100,8.00
2015-10-20,9.01,9.19,8.04,8.11,72500,8.11
2015-10-19,10.03,10.35,8.85,9.165,331700,9.165
2015-10-16,13.00,14.30,9.975,10.05,782300,10.05
2015-10-15,10.00,10.00,10.00,10.00,000,10.00
