Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,38.049999,38.049999,37.02,37.02,1000,37.02
2016-01-22,37.990002,37.990002,36.419998,36.990002,6500,36.990002
2016-01-21,34.419998,34.880001,33.009998,34.689999,4700,34.689999
2016-01-20,33.959999,33.959999,32.00,33.50,7700,33.50
2016-01-19,34.880001,36.950001,34.650002,34.990002,9300,34.990002
2016-01-15,37.400002,37.779999,34.299999,34.299999,12500,34.299999
2016-01-14,39.490002,39.50,38.326,39.389999,5600,39.389999
2016-01-13,42.580002,42.580002,39.509998,39.509998,13600,39.509998
2016-01-12,43.639999,46.50,40.450001,41.689999,30100,41.689999
2016-01-11,47.00,47.00,42.18,43.560001,19200,43.560001
2016-01-08,48.939999,48.939999,46.950001,47.369999,6800,47.369999
2016-01-07,46.856998,48.933998,46.856998,48.25,7600,48.25
2016-01-06,49.450001,51.00,49.310001,49.659,10200,49.659
2016-01-05,52.349998,52.349998,49.240002,49.91,17700,49.91
2016-01-04,55.099998,55.099998,50.77,51.990002,6800,51.990002
2015-12-31,54.799999,54.900002,54.580002,54.59,2500,54.59
2015-12-30,52.889999,53.32,52.259998,52.259998,1300,52.259998
2015-12-29,51.48,53.639999,50.421001,52.189999,11900,52.189999
2015-12-28,50.310001,51.799,50.310001,50.814999,3700,50.814999
2015-12-24,51.799999,51.799999,50.009998,50.23,13300,50.23
2015-12-23,49.009998,50.00,48.540001,48.59,5600,48.59
2015-12-22,49.099998,49.380001,48.849998,48.849998,2000,48.849998
2015-12-21,52.080002,52.099998,49.729,49.744999,6000,49.744999
2015-12-18,49.889999,50.709999,49.450001,50.400002,6100,50.400002
2015-12-17,51.259998,51.259998,48.869999,49.490002,3300,49.490002
2015-12-16,51.50,51.50,49.009998,49.75,8800,49.75
2015-12-15,48.959999,51.700001,47.869999,51.400002,23000,51.400002
2015-12-14,50.00,50.00,48.117001,49.59,8200,49.59
2015-12-11,49.02,49.540001,48.00,48.464001,8400,48.464001
